Beta	Final Infections
0.0000	0.0
0.0008	0.0
0.0016	0.0
0.0024	116.0
0.0032	243.0
0.0040	374.0
0.0048	748.0
0.0056	944.0
0.0064	1022.0
0.0072	1366.0
0.0080	1579.0
0.0088	1582.0
0.0096	1835.0
0.0104	1928.0
0.0112	2095.0
0.0120	2243.0
0.0128	2456.0
0.0136	2358.0
0.0144	2621.0
0.0152	2710.0
0.0160	2866.0
0.0168	2961.0
0.0176	3055.0
0.0184	3114.0
0.0192	3338.0
0.0200	3287.0
0.0208	3496.0
0.0216	3443.0
0.0224	3546.0
0.0232	3678.0
0.0240	3704.0
0.0248	3801.0
0.0257	3760.0
0.0265	3776.0
0.0273	3891.0
0.0281	3934.0
0.0289	4107.0
0.0297	3995.0
0.0305	4139.0
0.0313	4180.0
0.0321	4272.0
0.0329	4346.0
0.0337	4286.0
0.0345	4271.0
0.0353	4455.0
0.0361	4567.0
0.0369	4445.0
0.0377	4684.0
0.0385	4670.0
0.0393	4822.0
0.0401	4681.0
0.0409	4628.0
0.0417	4723.0
0.0425	4920.0
0.0433	4859.0
0.0441	5018.0
0.0449	4953.0
0.0457	5015.0
0.0465	5017.0
0.0473	5064.0
0.0481	5009.0
0.0489	4992.0
0.0497	5018.0
0.0505	5146.0
0.0513	5178.0
0.0521	5151.0
0.0529	5268.0
0.0537	5276.0
0.0545	5140.0
0.0553	5400.0
0.0561	5336.0
0.0569	5306.0
0.0577	5356.0
0.0585	5260.0
0.0593	5457.0
0.0601	5489.0
0.0609	5419.0
0.0617	5524.0
0.0625	5571.0
0.0633	5494.0
0.0641	5495.0
0.0649	5598.0
0.0657	5581.0
0.0665	5616.0
0.0673	5634.0
0.0681	5612.0
0.0689	5678.0
0.0697	5705.0
0.0705	5715.0
0.0713	5527.0
0.0721	5685.0
0.0729	5870.0
0.0737	5729.0
0.0745	5866.0
0.0754	5771.0
0.0762	5869.0
0.0770	5815.0
0.0778	5828.0
0.0786	5807.0
0.0794	5931.0
0.0802	5941.0
0.0810	5845.0
0.0818	5939.0
0.0826	5952.0
0.0834	5980.0
0.0842	5984.0
0.0850	6082.0
0.0858	6075.0
0.0866	6072.0
0.0874	6002.0
0.0882	6096.0
0.0890	5969.0
0.0898	6013.0
0.0906	6081.0
0.0914	6151.0
0.0922	6085.0
0.0930	6086.0
0.0938	6108.0
0.0946	6135.0
0.0954	6157.0
0.0962	6123.0
0.0970	6142.0
0.0978	6231.0
0.0986	6230.0
0.0994	6304.0
0.1002	6258.0
0.1010	6216.0
0.1018	6304.0
0.1026	6284.0
0.1034	6300.0
0.1042	6354.0
0.1050	6411.0
0.1058	6319.0
0.1066	6287.0
0.1074	6394.0
0.1082	6368.0
0.1090	6395.0
0.1098	6378.0
0.1106	6329.0
0.1114	6356.0
0.1122	6410.0
0.1130	6387.0
0.1138	6349.0
0.1146	6418.0
0.1154	6525.0
0.1162	6465.0
0.1170	6397.0
0.1178	6508.0
0.1186	6579.0
0.1194	6380.0
0.1202	6538.0
0.1210	6528.0
0.1218	6437.0
0.1226	6540.0
0.1234	6565.0
0.1242	6553.0
0.1251	6484.0
0.1259	6545.0
0.1267	6609.0
0.1275	6566.0
0.1283	6558.0
0.1291	6558.0
0.1299	6640.0
0.1307	6589.0
0.1315	6606.0
0.1323	6723.0
0.1331	6697.0
0.1339	6694.0
0.1347	6676.0
0.1355	6621.0
0.1363	6672.0
0.1371	6612.0
0.1379	6729.0
0.1387	6744.0
0.1395	6709.0
0.1403	6756.0
0.1411	6779.0
0.1419	6584.0
0.1427	6740.0
0.1435	6735.0
0.1443	6810.0
0.1451	6813.0
0.1459	6711.0
0.1467	6840.0
0.1475	6798.0
0.1483	6760.0
0.1491	6742.0
0.1499	6755.0
0.1507	6788.0
0.1515	6853.0
0.1523	6820.0
0.1531	6847.0
0.1539	6773.0
0.1547	6864.0
0.1555	6802.0
0.1563	6886.0
0.1571	6696.0
0.1579	6821.0
0.1587	6784.0
0.1595	6862.0
0.1603	6796.0
0.1611	6916.0
0.1619	6856.0
0.1627	6830.0
0.1635	6854.0
0.1643	6879.0
0.1651	6890.0
0.1659	7023.0
0.1667	7044.0
0.1675	6839.0
0.1683	6975.0
0.1691	6939.0
0.1699	6926.0
0.1707	6949.0
0.1715	6937.0
0.1723	7027.0
0.1731	6979.0
0.1739	7012.0
0.1747	6943.0
0.1756	6953.0
0.1764	7013.0
0.1772	7055.0
0.1780	6985.0
0.1788	6996.0
0.1796	6930.0
