Beta	Final Infections
0.0000	0.0
0.0008	0.0
0.0016	0.0
0.0024	0.0
0.0032	0.0
0.0040	0.0
0.0048	0.0
0.0056	0.0
0.0064	0.0
0.0072	0.0
0.0080	0.0
0.0088	0.0
0.0096	0.0
0.0104	0.0
0.0112	0.0
0.0120	0.0
0.0128	0.0
0.0136	0.0
0.0144	0.0
0.0152	0.0
0.0160	0.0
0.0168	0.0
0.0176	0.0
0.0184	0.0
0.0192	0.0
0.0200	0.0
0.0208	0.0
0.0216	0.0
0.0224	0.0
0.0232	0.0
0.0240	0.0
0.0248	0.0
0.0257	0.0
0.0265	0.0
0.0273	0.0
0.0281	0.0
0.0289	0.0
0.0297	0.0
0.0305	0.0
0.0313	0.0
0.0321	0.0
0.0329	0.0
0.0337	0.0
0.0345	0.0
0.0353	0.0
0.0361	0.0
0.0369	0.0
0.0377	0.0
0.0385	0.0
0.0393	0.0
0.0401	0.0
0.0409	0.0
0.0417	0.0
0.0425	0.0
0.0433	0.0
0.0441	0.0
0.0449	0.0
0.0457	0.0
0.0465	0.0
0.0473	0.0
0.0481	0.0
0.0489	0.0
0.0497	0.0
0.0505	0.0
0.0513	0.0
0.0521	0.0
0.0529	0.0
0.0537	0.0
0.0545	0.0
0.0553	0.0
0.0561	0.0
0.0569	0.0
0.0577	0.0
0.0585	0.0
0.0593	0.0
0.0601	0.0
0.0609	0.0
0.0617	0.0
0.0625	0.0
0.0633	0.0
0.0641	0.0
0.0649	0.0
0.0657	0.0
0.0665	0.0
0.0673	0.0
0.0681	0.0
0.0689	0.0
0.0697	0.0
0.0705	0.0
0.0713	0.0
0.0721	0.0
0.0729	0.0
0.0737	0.0
0.0745	0.0
0.0754	0.0
0.0762	0.0
0.0770	0.0
0.0778	0.0
0.0786	0.0
0.0794	0.0
0.0802	0.0
0.0810	0.0
0.0818	0.0
0.0826	0.0
0.0834	0.0
0.0842	0.0
0.0850	0.0
0.0858	0.0
0.0866	0.0
0.0874	0.0
0.0882	0.0
0.0890	0.0
0.0898	0.0
0.0906	0.0
0.0914	0.0
0.0922	0.0
0.0930	0.0
0.0938	0.0
0.0946	0.0
0.0954	0.0
0.0962	0.0
0.0970	0.0
0.0978	0.0
0.0986	12.0
0.0994	0.0
0.1002	0.0
0.1010	19.0
0.1018	0.0
0.1026	0.0
0.1034	39.0
0.1042	28.0
0.1050	13.0
0.1058	56.0
0.1066	57.0
0.1074	57.0
0.1082	195.0
0.1090	183.0
0.1098	124.0
0.1106	219.0
0.1114	269.0
0.1122	196.0
0.1130	351.0
0.1138	332.0
0.1146	376.0
0.1154	318.0
0.1162	388.0
0.1170	458.0
0.1178	436.0
0.1186	470.0
0.1194	499.0
0.1202	503.0
0.1210	593.0
0.1218	452.0
0.1226	545.0
0.1234	626.0
0.1242	622.0
0.1251	633.0
0.1259	736.0
0.1267	716.0
0.1275	737.0
0.1283	720.0
0.1291	817.0
0.1299	805.0
0.1307	817.0
0.1315	819.0
0.1323	829.0
0.1331	986.0
0.1339	837.0
0.1347	973.0
0.1355	906.0
0.1363	938.0
0.1371	995.0
0.1379	959.0
0.1387	973.0
0.1395	1097.0
0.1403	1013.0
0.1411	1025.0
0.1419	980.0
0.1427	1048.0
0.1435	1104.0
0.1443	1130.0
0.1451	1127.0
0.1459	1124.0
0.1467	1083.0
0.1475	1227.0
0.1483	1183.0
0.1491	1143.0
0.1499	1150.0
0.1507	1170.0
0.1515	1145.0
0.1523	1241.0
0.1531	1244.0
0.1539	1232.0
0.1547	1231.0
0.1555	1307.0
0.1563	1346.0
0.1571	1274.0
0.1579	1323.0
0.1587	1242.0
0.1595	1265.0
0.1603	1339.0
0.1611	1304.0
0.1619	1292.0
0.1627	1388.0
0.1635	1392.0
0.1643	1387.0
0.1651	1383.0
0.1659	1400.0
0.1667	1395.0
0.1675	1355.0
0.1683	1371.0
0.1691	1498.0
0.1699	1395.0
0.1707	1420.0
0.1715	1465.0
0.1723	1465.0
0.1731	1456.0
0.1739	1528.0
0.1747	1466.0
0.1756	1502.0
0.1764	1504.0
0.1772	1522.0
0.1780	1500.0
0.1788	1539.0
0.1796	1498.0
0.1804	1600.0
0.1812	1557.0
0.1820	1579.0
0.1828	1533.0
0.1836	1616.0
0.1844	1525.0
0.1852	1579.0
0.1860	1563.0
0.1868	1561.0
0.1876	1599.0
0.1884	1607.0
0.1892	1587.0
0.1900	1573.0
0.1908	1619.0
0.1916	1662.0
0.1924	1610.0
