Beta	Final Infections
0.0000	0.0
0.0008	0.0
0.0016	0.0
0.0024	0.0
0.0032	0.0
0.0040	0.0
0.0048	78.0
0.0056	85.0
0.0064	88.0
0.0072	106.0
0.0080	131.0
0.0088	149.0
0.0096	188.0
0.0104	165.0
0.0112	204.0
0.0120	236.0
0.0128	261.0
0.0136	249.0
0.0144	234.0
0.0152	266.0
0.0160	244.0
0.0168	265.0
0.0176	291.0
0.0184	316.0
0.0192	327.0
0.0200	359.0
0.0208	344.0
0.0216	344.0
0.0224	340.0
0.0232	398.0
0.0240	384.0
0.0248	369.0
0.0257	342.0
0.0265	408.0
0.0273	392.0
0.0281	386.0
0.0289	402.0
0.0297	387.0
0.0305	423.0
0.0313	403.0
0.0321	446.0
0.0329	386.0
0.0337	389.0
0.0345	459.0
0.0353	405.0
0.0361	448.0
0.0369	421.0
0.0377	454.0
0.0385	461.0
0.0393	466.0
0.0401	455.0
0.0409	498.0
0.0417	487.0
0.0425	473.0
0.0433	485.0
0.0441	477.0
0.0449	502.0
0.0457	511.0
0.0465	462.0
0.0473	502.0
0.0481	483.0
0.0489	525.0
0.0497	520.0
0.0505	503.0
0.0513	504.0
0.0521	522.0
0.0529	518.0
0.0537	550.0
0.0545	500.0
0.0553	549.0
0.0561	519.0
0.0569	535.0
0.0577	557.0
0.0585	528.0
0.0593	532.0
0.0601	574.0
0.0609	525.0
0.0617	541.0
0.0625	588.0
0.0633	552.0
0.0641	576.0
0.0649	552.0
0.0657	557.0
0.0665	543.0
0.0673	546.0
0.0681	570.0
0.0689	567.0
0.0697	581.0
0.0705	553.0
0.0713	558.0
0.0721	576.0
0.0729	566.0
0.0737	578.0
0.0745	599.0
0.0754	573.0
0.0762	593.0
0.0770	583.0
0.0778	574.0
0.0786	615.0
0.0794	587.0
0.0802	597.0
0.0810	598.0
0.0818	589.0
0.0826	598.0
0.0834	598.0
0.0842	598.0
0.0850	567.0
0.0858	610.0
0.0866	578.0
0.0874	596.0
0.0882	591.0
0.0890	594.0
0.0898	618.0
0.0906	644.0
0.0914	592.0
0.0922	593.0
0.0930	642.0
0.0938	617.0
0.0946	636.0
0.0954	635.0
0.0962	636.0
0.0970	619.0
0.0978	590.0
0.0986	619.0
0.0994	608.0
0.1002	607.0
0.1010	611.0
0.1018	627.0
0.1026	621.0
0.1034	643.0
0.1042	611.0
0.1050	625.0
0.1058	625.0
0.1066	604.0
0.1074	668.0
0.1082	626.0
0.1090	636.0
0.1098	602.0
0.1106	650.0
0.1114	625.0
0.1122	609.0
0.1130	673.0
0.1138	667.0
0.1146	626.0
0.1154	656.0
0.1162	643.0
0.1170	646.0
0.1178	643.0
0.1186	660.0
0.1194	654.0
0.1202	650.0
0.1210	633.0
0.1218	635.0
0.1226	655.0
0.1234	660.0
0.1242	655.0
0.1251	683.0
0.1259	675.0
0.1267	663.0
0.1275	664.0
0.1283	642.0
0.1291	661.0
0.1299	664.0
0.1307	674.0
0.1315	675.0
0.1323	640.0
0.1331	658.0
0.1339	661.0
0.1347	663.0
0.1355	675.0
0.1363	680.0
0.1371	698.0
0.1379	676.0
0.1387	681.0
0.1395	683.0
0.1403	652.0
0.1411	685.0
0.1419	665.0
0.1427	669.0
0.1435	692.0
0.1443	657.0
0.1451	640.0
0.1459	680.0
0.1467	679.0
0.1475	680.0
0.1483	671.0
0.1491	668.0
0.1499	678.0
0.1507	686.0
0.1515	683.0
0.1523	688.0
0.1531	677.0
0.1539	669.0
0.1547	688.0
0.1555	667.0
0.1563	676.0
0.1571	696.0
0.1579	681.0
0.1587	703.0
0.1595	703.0
0.1603	710.0
0.1611	708.0
0.1619	666.0
0.1627	665.0
0.1635	697.0
0.1643	701.0
0.1651	672.0
0.1659	732.0
0.1667	712.0
0.1675	709.0
0.1683	710.0
0.1691	716.0
0.1699	696.0
0.1707	701.0
0.1715	691.0
0.1723	683.0
0.1731	707.0
0.1739	705.0
0.1747	691.0
0.1756	713.0
0.1764	693.0
0.1772	685.0
0.1780	687.0
0.1788	692.0
0.1796	668.0
0.1804	696.0
0.1812	707.0
0.1820	700.0
0.1828	700.0
0.1836	691.0
0.1844	692.0
0.1852	710.0
0.1860	701.0
0.1868	710.0
0.1876	707.0
0.1884	737.0
0.1892	724.0
0.1900	689.0
0.1908	718.0
0.1916	712.0
0.1924	719.0
0.1932	694.0
0.1940	715.0
0.1948	749.0
0.1956	739.0
0.1964	707.0
0.1972	717.0
0.1980	727.0
0.1988	709.0
