Beta	Final Infections
0.0000	0.0
0.0008	0.0
0.0016	0.0
0.0024	0.0
0.0032	66.0
0.0040	100.0
0.0048	232.0
0.0056	267.0
0.0064	340.0
0.0072	370.0
0.0080	383.0
0.0088	513.0
0.0096	528.0
0.0104	536.0
0.0112	570.0
0.0120	599.0
0.0128	708.0
0.0136	746.0
0.0144	763.0
0.0152	781.0
0.0160	908.0
0.0168	900.0
0.0176	881.0
0.0184	957.0
0.0192	996.0
0.0200	990.0
0.0208	1020.0
0.0216	977.0
0.0224	1087.0
0.0232	1129.0
0.0240	1054.0
0.0248	1121.0
0.0257	1167.0
0.0265	1194.0
0.0273	1179.0
0.0281	1180.0
0.0289	1223.0
0.0297	1193.0
0.0305	1213.0
0.0313	1246.0
0.0321	1284.0
0.0329	1303.0
0.0337	1294.0
0.0345	1343.0
0.0353	1381.0
0.0361	1387.0
0.0369	1396.0
0.0377	1373.0
0.0385	1347.0
0.0393	1405.0
0.0401	1390.0
0.0409	1484.0
0.0417	1361.0
0.0425	1474.0
0.0433	1467.0
0.0441	1475.0
0.0449	1444.0
0.0457	1488.0
0.0465	1501.0
0.0473	1538.0
0.0481	1545.0
0.0489	1547.0
0.0497	1532.0
0.0505	1533.0
0.0513	1556.0
0.0521	1558.0
0.0529	1576.0
0.0537	1590.0
0.0545	1536.0
0.0553	1616.0
0.0561	1544.0
0.0569	1585.0
0.0577	1595.0
0.0585	1628.0
0.0593	1601.0
0.0601	1650.0
0.0609	1627.0
0.0617	1668.0
0.0625	1619.0
0.0633	1622.0
0.0641	1644.0
0.0649	1643.0
0.0657	1687.0
0.0665	1653.0
0.0673	1707.0
0.0681	1689.0
0.0689	1733.0
0.0697	1747.0
0.0705	1703.0
0.0713	1731.0
0.0721	1739.0
0.0729	1744.0
0.0737	1728.0
0.0745	1717.0
0.0754	1750.0
0.0762	1751.0
0.0770	1758.0
0.0778	1776.0
0.0786	1803.0
0.0794	1728.0
0.0802	1740.0
0.0810	1731.0
0.0818	1809.0
0.0826	1732.0
0.0834	1801.0
0.0842	1784.0
0.0850	1768.0
0.0858	1821.0
0.0866	1800.0
0.0874	1824.0
0.0882	1809.0
0.0890	1819.0
0.0898	1817.0
0.0906	1867.0
0.0914	1854.0
0.0922	1820.0
0.0930	1839.0
0.0938	1865.0
0.0946	1833.0
0.0954	1844.0
0.0962	1848.0
0.0970	1875.0
0.0978	1870.0
0.0986	1803.0
0.0994	1836.0
0.1002	1828.0
0.1010	1864.0
0.1018	1833.0
0.1026	1847.0
0.1034	1871.0
0.1042	1906.0
0.1050	1877.0
0.1058	1952.0
0.1066	1870.0
0.1074	1916.0
0.1082	1977.0
0.1090	1914.0
0.1098	1849.0
0.1106	1889.0
0.1114	1917.0
0.1122	1946.0
0.1130	1886.0
0.1138	1901.0
0.1146	1931.0
0.1154	1939.0
0.1162	1943.0
0.1170	1994.0
0.1178	1941.0
0.1186	1970.0
0.1194	1985.0
0.1202	1949.0
0.1210	1962.0
0.1218	1960.0
0.1226	1973.0
0.1234	1958.0
0.1242	1967.0
0.1251	1959.0
0.1259	1988.0
0.1267	1949.0
0.1275	1968.0
0.1283	2002.0
0.1291	1988.0
0.1299	2002.0
0.1307	1990.0
0.1315	1952.0
0.1323	2043.0
0.1331	2011.0
0.1339	1995.0
0.1347	1974.0
0.1355	2033.0
0.1363	2003.0
0.1371	2015.0
0.1379	2021.0
0.1387	1972.0
0.1395	2020.0
0.1403	2029.0
0.1411	2030.0
0.1419	2059.0
0.1427	1948.0
0.1435	2031.0
0.1443	2077.0
0.1451	2013.0
0.1459	2028.0
0.1467	2015.0
0.1475	2046.0
0.1483	1999.0
0.1491	2034.0
0.1499	1986.0
0.1507	2053.0
0.1515	2059.0
0.1523	2065.0
0.1531	2050.0
0.1539	2043.0
0.1547	2077.0
0.1555	2062.0
0.1563	2071.0
0.1571	2086.0
0.1579	2030.0
0.1587	2089.0
0.1595	2089.0
0.1603	2016.0
0.1611	2052.0
0.1619	2046.0
0.1627	2088.0
0.1635	2084.0
0.1643	2097.0
0.1651	2051.0
0.1659	2109.0
0.1667	2085.0
0.1675	2077.0
0.1683	2119.0
0.1691	2109.0
0.1699	2088.0
0.1707	2067.0
0.1715	2074.0
0.1723	2032.0
0.1731	2071.0
0.1739	2102.0
0.1747	2075.0
0.1756	2140.0
0.1764	2080.0
0.1772	2132.0
0.1780	2142.0
0.1788	2078.0
0.1796	2080.0
0.1804	2082.0
