Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	0.0
0.0919	0.0
0.0990	0.0
0.1061	0.0
0.1131	0.0
0.1202	0.0
0.1273	0.0
0.1343	0.0
0.1414	2098.0
0.1485	2889.0
0.1556	3343.0
0.1626	3748.0
0.1697	4023.0
0.1768	4347.0
0.1838	4500.0
0.1909	4803.0
0.1980	4987.0
0.2051	5101.0
0.2121	5405.0
0.2192	5613.0
0.2263	5719.0
0.2333	5732.0
0.2404	5892.0
0.2475	5996.0
0.2545	6032.0
0.2616	6202.0
0.2687	6225.0
0.2758	6290.0
0.2828	6360.0
0.2899	6431.0
0.2970	6542.0
0.3040	6551.0
0.3111	6672.0
0.3182	6691.0
0.3253	6820.0
0.3323	6851.0
0.3394	6805.0
0.3465	6828.0
0.3535	7053.0
0.3606	6889.0
0.3677	7019.0
0.3747	7073.0
0.3818	6982.0
0.3889	7206.0
0.3960	7051.0
0.4030	7124.0
0.4101	7219.0
0.4172	7173.0
0.4242	7202.0
0.4313	7291.0
0.4384	7250.0
0.4455	7377.0
0.4525	7285.0
0.4596	7338.0
0.4667	7443.0
0.4737	7395.0
0.4808	7361.0
0.4879	7328.0
0.4949	7511.0
0.5020	7443.0
0.5091	7403.0
0.5162	7489.0
0.5232	7456.0
0.5303	7467.0
0.5374	7667.0
0.5444	7560.0
0.5515	7506.0
0.5586	7647.0
0.5657	7621.0
0.5727	7538.0
0.5798	7638.0
0.5869	7583.0
0.5939	7569.0
0.6010	7739.0
0.6081	7571.0
0.6152	7589.0
0.6222	7624.0
0.6293	7675.0
0.6364	7706.0
0.6434	7541.0
0.6505	7643.0
0.6576	7692.0
0.6646	7687.0
0.6717	7717.0
0.6788	7659.0
0.6859	7642.0
0.6929	7732.0
0.7000	7706.0
