Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	2957.0
0.0283	0.0
0.0354	3935.0
0.0424	0.0
0.0495	4612.0
0.0566	4801.0
0.0636	5075.0
0.0707	5139.0
0.0778	5396.0
0.0848	5435.0
0.0919	5631.0
0.0990	5737.0
0.1061	5953.0
0.1131	6035.0
0.1202	6052.0
0.1273	6178.0
0.1343	6235.0
0.1414	6321.0
0.1485	6396.0
0.1556	6272.0
0.1626	6466.0
0.1697	6558.0
0.1768	6560.0
0.1838	6664.0
0.1909	6773.0
0.1980	6636.0
0.2051	6673.0
0.2121	6828.0
0.2192	6877.0
0.2263	6878.0
0.2333	6841.0
0.2404	6886.0
0.2475	6918.0
0.2545	6955.0
0.2616	6977.0
0.2687	7048.0
0.2758	7088.0
0.2828	7079.0
0.2899	7098.0
0.2970	6988.0
0.3040	7183.0
0.3111	7158.0
0.3182	7194.0
0.3253	7304.0
0.3323	7174.0
0.3394	7286.0
0.3465	7288.0
0.3535	7260.0
0.3606	7307.0
0.3677	7377.0
0.3747	7314.0
0.3818	7329.0
0.3889	7357.0
0.3960	7486.0
0.4030	7361.0
0.4101	7439.0
0.4172	7504.0
0.4242	7446.0
0.4313	7363.0
0.4384	7499.0
0.4455	7445.0
0.4525	7392.0
0.4596	7573.0
0.4667	7547.0
0.4737	7549.0
0.4808	7528.0
0.4879	7424.0
0.4949	7523.0
0.5020	7603.0
0.5091	7593.0
0.5162	7574.0
0.5232	7565.0
0.5303	7556.0
0.5374	7539.0
0.5444	7583.0
0.5515	7634.0
0.5586	7665.0
0.5657	7661.0
0.5727	7615.0
0.5798	7716.0
0.5869	7628.0
0.5939	7626.0
0.6010	7567.0
0.6081	7711.0
0.6152	7693.0
0.6222	7672.0
0.6293	7727.0
0.6364	7585.0
0.6434	7704.0
0.6505	7725.0
0.6576	7721.0
0.6646	7709.0
0.6717	7746.0
0.6788	7866.0
0.6859	7724.0
0.6929	7790.0
0.7000	7729.0
