Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	0.0
0.0919	972.0
0.0990	0.0
0.1061	1939.0
0.1131	2256.0
0.1202	2522.0
0.1273	2930.0
0.1343	3126.0
0.1414	3410.0
0.1485	3667.0
0.1556	3953.0
0.1626	4042.0
0.1697	4155.0
0.1768	4485.0
0.1838	4569.0
0.1909	4668.0
0.1980	4900.0
0.2051	5024.0
0.2121	5123.0
0.2192	5277.0
0.2263	5365.0
0.2333	5527.0
0.2404	5524.0
0.2475	5590.0
0.2545	5779.0
0.2616	5888.0
0.2687	5875.0
0.2758	5972.0
0.2828	5965.0
0.2899	6179.0
0.2970	6204.0
0.3040	6264.0
0.3111	6292.0
0.3182	6272.0
0.3253	6375.0
0.3323	6371.0
0.3394	6453.0
0.3465	6524.0
0.3535	6543.0
0.3606	6573.0
0.3677	6668.0
0.3747	6672.0
0.3818	6639.0
0.3889	6795.0
0.3960	6682.0
0.4030	6751.0
0.4101	6865.0
0.4172	6815.0
0.4242	6834.0
0.4313	6874.0
0.4384	7030.0
0.4455	6948.0
0.4525	6942.0
0.4596	6952.0
0.4667	7009.0
0.4737	7061.0
0.4808	7032.0
0.4879	7102.0
0.4949	7131.0
0.5020	7175.0
0.5091	7232.0
0.5162	7140.0
0.5232	7135.0
0.5303	7207.0
0.5374	7274.0
0.5444	7328.0
0.5515	7287.0
0.5586	7344.0
0.5657	7251.0
0.5727	7309.0
0.5798	7375.0
0.5869	7373.0
0.5939	7347.0
0.6010	7364.0
0.6081	7462.0
0.6152	7373.0
0.6222	7475.0
0.6293	7444.0
0.6364	7399.0
0.6434	7373.0
0.6505	7462.0
0.6576	7421.0
0.6646	7499.0
0.6717	7470.0
0.6788	7502.0
0.6859	7556.0
0.6929	7520.0
0.7000	7570.0
