Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	0.0
0.0919	0.0
0.0990	0.0
0.1061	0.0
0.1131	0.0
0.1202	0.0
0.1273	0.0
0.1343	3116.0
0.1414	3637.0
0.1485	3839.0
0.1556	0.0
0.1626	4410.0
0.1697	4662.0
0.1768	5029.0
0.1838	5309.0
0.1909	5530.0
0.1980	5668.0
0.2051	5739.0
0.2121	5867.0
0.2192	0.0
0.2263	6212.0
0.2333	6267.0
0.2404	6351.0
0.2475	6428.0
0.2545	6584.0
0.2616	6713.0
0.2687	6846.0
0.2758	6703.0
0.2828	6894.0
0.2899	6937.0
0.2970	7100.0
0.3040	7017.0
0.3111	7235.0
0.3182	7174.0
0.3253	7188.0
0.3323	7253.0
0.3394	7308.0
0.3465	7324.0
0.3535	7326.0
0.3606	7465.0
0.3677	7454.0
0.3747	7396.0
0.3818	7528.0
0.3889	7574.0
0.3960	7616.0
0.4030	7533.0
0.4101	7622.0
0.4172	7666.0
0.4242	7627.0
0.4313	7725.0
0.4384	7800.0
0.4455	7786.0
0.4525	7786.0
0.4596	7853.0
0.4667	7839.0
0.4737	7841.0
0.4808	7816.0
0.4879	7845.0
0.4949	7878.0
0.5020	7932.0
0.5091	7951.0
0.5162	7921.0
0.5232	7976.0
0.5303	7897.0
0.5374	7946.0
0.5444	7934.0
0.5515	8023.0
0.5586	8005.0
0.5657	8102.0
0.5727	8079.0
0.5798	7949.0
0.5869	8087.0
0.5939	8109.0
0.6010	8039.0
0.6081	8067.0
0.6152	8165.0
0.6222	8106.0
0.6293	8110.0
0.6364	8039.0
0.6434	8123.0
0.6505	8200.0
0.6576	8126.0
0.6646	8151.0
0.6717	8175.0
0.6788	8147.0
0.6859	8158.0
0.6929	8152.0
0.7000	8189.0
