Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	0.0
0.0919	0.0
0.0990	0.0
0.1061	0.0
0.1131	0.0
0.1202	0.0
0.1273	0.0
0.1343	0.0
0.1414	2268.0
0.1485	2943.0
0.1556	3245.0
0.1626	3794.0
0.1697	3932.0
0.1768	4345.0
0.1838	4520.0
0.1909	4861.0
0.1980	0.0
0.2051	5239.0
0.2121	5343.0
0.2192	5583.0
0.2263	5724.0
0.2333	5781.0
0.2404	5896.0
0.2475	5981.0
0.2545	6017.0
0.2616	6037.0
0.2687	6364.0
0.2758	6381.0
0.2828	6410.0
0.2899	6442.0
0.2970	6582.0
0.3040	6582.0
0.3111	6697.0
0.3182	6740.0
0.3253	6656.0
0.3323	6692.0
0.3394	6928.0
0.3465	6821.0
0.3535	6919.0
0.3606	6955.0
0.3677	7064.0
0.3747	7010.0
0.3818	7094.0
0.3889	7078.0
0.3960	7169.0
0.4030	7210.0
0.4101	7174.0
0.4172	7167.0
0.4242	7323.0
0.4313	7190.0
0.4384	7291.0
0.4455	7311.0
0.4525	7335.0
0.4596	7319.0
0.4667	7369.0
0.4737	7354.0
0.4808	7379.0
0.4879	7371.0
0.4949	7477.0
0.5020	7394.0
0.5091	7468.0
0.5162	7557.0
0.5232	7505.0
0.5303	7458.0
0.5374	7515.0
0.5444	7492.0
0.5515	7491.0
0.5586	7569.0
0.5657	7584.0
0.5727	7572.0
0.5798	7549.0
0.5869	7656.0
0.5939	7503.0
0.6010	7684.0
0.6081	7686.0
0.6152	7649.0
0.6222	7662.0
0.6293	7637.0
0.6364	7615.0
0.6434	7665.0
0.6505	7712.0
0.6576	7715.0
0.6646	7737.0
0.6717	7639.0
0.6788	7672.0
0.6859	7798.0
0.6929	7731.0
0.7000	7755.0
