Beta	Final Infections
0.0000	0.0
0.0071	940.0
0.0141	1997.0
0.0212	2868.0
0.0283	3484.0
0.0354	3941.0
0.0424	4309.0
0.0495	4507.0
0.0566	4712.0
0.0636	5074.0
0.0707	5211.0
0.0778	0.0
0.0848	5501.0
0.0919	5568.0
0.0990	5830.0
0.1061	5979.0
0.1131	6004.0
0.1202	5943.0
0.1273	6154.0
0.1343	6214.0
0.1414	6256.0
0.1485	6267.0
0.1556	6422.0
0.1626	6457.0
0.1697	6434.0
0.1768	6611.0
0.1838	6643.0
0.1909	6751.0
0.1980	6731.0
0.2051	6677.0
0.2121	6738.0
0.2192	6862.0
0.2263	6834.0
0.2333	6850.0
0.2404	6835.0
0.2475	6918.0
0.2545	6967.0
0.2616	6958.0
0.2687	7048.0
0.2758	7134.0
0.2828	7109.0
0.2899	6958.0
0.2970	7262.0
0.3040	7266.0
0.3111	7211.0
0.3182	7180.0
0.3253	7245.0
0.3323	7250.0
0.3394	7288.0
0.3465	7317.0
0.3535	7369.0
0.3606	7230.0
0.3677	7286.0
0.3747	7355.0
0.3818	7383.0
0.3889	7386.0
0.3960	7410.0
0.4030	7424.0
0.4101	7453.0
0.4172	7452.0
0.4242	7482.0
0.4313	7518.0
0.4384	7429.0
0.4455	7512.0
0.4525	7464.0
0.4596	7589.0
0.4667	7537.0
0.4737	7301.0
0.4808	7516.0
0.4879	7611.0
0.4949	7593.0
0.5020	7612.0
0.5091	7478.0
0.5162	7529.0
0.5232	7632.0
0.5303	7631.0
0.5374	7642.0
0.5444	7586.0
0.5515	7571.0
0.5586	7649.0
0.5657	7679.0
0.5727	7662.0
0.5798	7621.0
0.5869	7652.0
0.5939	7653.0
0.6010	7700.0
0.6081	7710.0
0.6152	7640.0
0.6222	7664.0
0.6293	7734.0
0.6364	7685.0
0.6434	7782.0
0.6505	7690.0
0.6576	7761.0
0.6646	7747.0
0.6717	7698.0
0.6788	7770.0
0.6859	7719.0
0.6929	7774.0
0.7000	7800.0
