Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	0.0
0.0919	931.0
0.0990	0.0
0.1061	1918.0
0.1131	0.0
0.1202	2681.0
0.1273	2875.0
0.1343	3084.0
0.1414	3384.0
0.1485	3598.0
0.1556	3913.0
0.1626	4180.0
0.1697	4223.0
0.1768	4471.0
0.1838	4613.0
0.1909	4801.0
0.1980	0.0
0.2051	5001.0
0.2121	5095.0
0.2192	5244.0
0.2263	5303.0
0.2333	5419.0
0.2404	5410.0
0.2475	5628.0
0.2545	5777.0
0.2616	5822.0
0.2687	5865.0
0.2758	5931.0
0.2828	6056.0
0.2899	6135.0
0.2970	6139.0
0.3040	6248.0
0.3111	6267.0
0.3182	6388.0
0.3253	6413.0
0.3323	6423.0
0.3394	6479.0
0.3465	6470.0
0.3535	6660.0
0.3606	6600.0
0.3677	6560.0
0.3747	6475.0
0.3818	6718.0
0.3889	6791.0
0.3960	6724.0
0.4030	6933.0
0.4101	6901.0
0.4172	6857.0
0.4242	6899.0
0.4313	6914.0
0.4384	7006.0
0.4455	6925.0
0.4525	6976.0
0.4596	6940.0
0.4667	7053.0
0.4737	7043.0
0.4808	7033.0
0.4879	7157.0
0.4949	7096.0
0.5020	7099.0
0.5091	7166.0
0.5162	7204.0
0.5232	7141.0
0.5303	7232.0
0.5374	7268.0
0.5444	7219.0
0.5515	7195.0
0.5586	7327.0
0.5657	7242.0
0.5727	7331.0
0.5798	7318.0
0.5869	7278.0
0.5939	7284.0
0.6010	7395.0
0.6081	7336.0
0.6152	7413.0
0.6222	7339.0
0.6293	7365.0
0.6364	7384.0
0.6434	7464.0
0.6505	7487.0
0.6576	7495.0
0.6646	7460.0
0.6717	7373.0
0.6788	7491.0
0.6859	7505.0
0.6929	7544.0
0.7000	7557.0
