Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	0.0
0.0919	0.0
0.0990	0.0
0.1061	0.0
0.1131	0.0
0.1202	1695.0
0.1273	0.0
0.1343	3232.0
0.1414	3514.0
0.1485	3770.0
0.1556	4191.0
0.1626	4483.0
0.1697	0.0
0.1768	0.0
0.1838	5074.0
0.1909	5258.0
0.1980	5653.0
0.2051	5758.0
0.2121	5970.0
0.2192	6017.0
0.2263	6195.0
0.2333	6346.0
0.2404	6444.0
0.2475	6454.0
0.2545	6500.0
0.2616	6711.0
0.2687	6766.0
0.2758	6770.0
0.2828	6887.0
0.2899	6999.0
0.2970	6957.0
0.3040	7026.0
0.3111	7059.0
0.3182	7148.0
0.3253	7165.0
0.3323	7264.0
0.3394	7297.0
0.3465	7323.0
0.3535	7407.0
0.3606	7482.0
0.3677	7423.0
0.3747	7370.0
0.3818	7472.0
0.3889	7554.0
0.3960	7532.0
0.4030	7544.0
0.4101	7677.0
0.4172	7584.0
0.4242	7663.0
0.4313	7647.0
0.4384	7710.0
0.4455	7784.0
0.4525	7736.0
0.4596	7899.0
0.4667	7774.0
0.4737	7800.0
0.4808	7866.0
0.4879	7859.0
0.4949	7903.0
0.5020	7915.0
0.5091	7843.0
0.5162	7902.0
0.5232	7959.0
0.5303	8009.0
0.5374	7922.0
0.5444	7998.0
0.5515	8012.0
0.5586	8036.0
0.5657	8022.0
0.5727	8045.0
0.5798	8063.0
0.5869	7969.0
0.5939	8031.0
0.6010	8068.0
0.6081	8062.0
0.6152	8082.0
0.6222	8051.0
0.6293	8067.0
0.6364	8072.0
0.6434	8162.0
0.6505	8168.0
0.6576	8128.0
0.6646	8235.0
0.6717	8163.0
0.6788	8151.0
0.6859	8197.0
0.6929	8218.0
0.7000	8215.0
